DL_REQUEST_ID,DL_REQUEST_NAME,DL_SNAPSHOT_START_TIME,DL_SNAPSHOT_TZ,IDENTIFIER,RC,DATE,PX_VOLUME,PX_OPEN
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-24,822,6030
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-25,1659,6001
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-28,1899,5951
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-29,2618,5932
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-30,2163,5940
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-10-31,1463,5835
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-01,938,5781
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-04,1147,5800
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-05,1303,5799
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-06,841,5781
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-07,643,5805
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-08,1193,5750
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-11,853,5801
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-12,1391,5910
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-13,1349,5943.4
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-14,1460,5930
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-15,1539,5883
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-18,1280,5910
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-19,2468,5894
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-20,2403,5963
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-21,2333,5980
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-22,2018,5950
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-25,1503,5950
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-26,3280,5950
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-27,2129,5945
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-28,4900,5960
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-11-29,1716,5945
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-02,1735,5815
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-03,1148,5882
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-04,1857,5920
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-05,1352,5916.8
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-06,1359,5910
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-09,681,5915
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-10,1739,5880
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-11,1093,5890
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-12,1491,5865
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-13,1045,5800.4
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-17,724,5875
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-18,950,5720
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-19,1079,5739.4
uUNihmy6o6q3,safexvolume,2025-04-22T21:08:13,JST,EBZ4 Comdty,0,2024-12-20,1228,5780
