Date,Price,volume,open_price,Year,USDZAR Curncy,W 1 Comdty,W 2 Comdty,WZ1 Comdty,YW1 Comdty,year_month,max_temp,precipitation,avg_temp,min_temp,active_flag,day
2020-08-13,4925,584.0,4925.0,2020,17.4164,496.75,506.5,2865.0,2908.0,202008,65.86449999999999,1.605833,52.73875,39.59655,0,Thursday
2020-08-20,4906,646.0,4895.0,2020,17.2712,519.5,528.5,2942.0,2950.0,202008,65.86449999999999,1.605833,52.73875,39.59655,0,Thursday
2020-08-27,4868,738.0,4860.0,2020,17.0325,542.5,550.75,3141.0,3101.0,202008,65.86449999999999,1.605833,52.73875,39.59655,0,Thursday
2020-09-03,4880,384.0,4873.0,2020,16.7295,543.25,553.25,3139.0,3090.0,202009,72.19415000000001,1.6741665,59.07725,45.9469,0,Thursday
2020-09-10,4891,454.0,4894.0,2020,16.9078,540.0,548.25,3255.0,3160.0,202009,72.19415000000001,1.6741665,59.07725,45.9469,0,Thursday
2020-09-17,4887,671.0,4890.0,2020,16.1588,556.25,564.0,3269.0,3167.0,202009,72.19415000000001,1.6741665,59.07725,45.9469,0,Thursday
2020-10-01,4875,1954.0,4878.0,2020,16.6087,570.25,576.5,3337.0,3305.0,202010,76.5172,1.6858335,64.60995,52.6973,0,Thursday
2020-10-08,4934,1272.0,4896.0,2020,16.5904,595.25,598.75,3488.0,3435.0,202010,76.5172,1.6858335,64.60995,52.6973,0,Thursday
2020-10-15,4966,1349.0,4965.0,2020,16.6443,618.25,619.5,3581.0,3502.0,202010,76.5172,1.6858335,64.60995,52.6973,0,Thursday
2020-10-22,5106,912.0,5087.0,2020,16.2102,622.75,623.75,3696.0,3615.0,202010,76.5172,1.6858335,64.60995,52.6973,0,Thursday
2020-10-29,5070,1523.0,5060.0,2020,16.3976,603.75,603.0,3638.0,3560.0,202010,76.5172,1.6858335,64.60995,52.6973,0,Thursday
2020-11-05,5013,1982.0,5055.0,2020,15.6866,609.25,613.5,3369.0,3338.0,202011,77.4986,2.69,66.64835,55.78945,0,Thursday
2020-11-12,5066,731.0,5049.0,2020,15.649,588.25,597.25,3487.0,3416.0,202011,77.4986,2.69,66.64835,55.78945,0,Thursday
2020-11-19,4986,5406.0,5000.0,2020,15.4135,591.75,598.75,3427.0,3395.0,202011,77.4986,2.69,66.64835,55.78945,0,Thursday
